"","A1_locus","A1_gene","A1_product","A2_locus","A2_gene","A2_product","A3_locus","A3_gene","A3_product","A4_locus","A4_gene","A4_product","L1_locus","L1_gene","L1_product","L2_locus","L2_gene","L2_product","L3_locus","L3_gene","L3_product","L5_locus","L5_gene","L5_product","L6_locus","L6_gene","L6_product","L7_locus","L7_gene","L7_product","L8_locus","L8_gene","L8_product","L9_locus","L9_gene","L9_product"
"11","Rv1451",NA,"protoheme IX farnesyltransferase","Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF","Rv0322","udgA","UDP-glucose 6-dehydrogenase UdgA","Rv1161","narG","nitrate reductase subunit alpha","Rv2074",NA,"pyridoxamine 5'-phosphate oxidase","Rv2349c","plcC","phospholipase C","Rv1472","echA12","enoyl-CoA hydratase EchA12","Rv0768","aldA","aldehyde dehydrogenase AldA","Rv1030","kdpB","potassium-transporting ATPase subunit B","Rv0753c","mmsA","methylmalonate-semialdehyde dehydrogenase","Rv0946c","pgi","glucose-6-phosphate isomerase","Rv0729","xylB","D-xylulose kinase XylB"
"12","Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF","Rv1617","pykA","pyruvate kinase","Rv0346c","ansP2","L-asparagine permease","Rv1248c",NA,"multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase","Rv2484c",NA,"diacyglycerol O-acyltransferase","Rv2495c","bkdC","branched-chain keto acid dehydrogenase E2 component","Rv1521","fadD25","fatty-acid--CoA ligase FadD25","Rv0788","purQ","phosphoribosylformylglycinamidine synthase","Rv1092c","coaA","pantothenate kinase","Rv0809","purM","phosphoribosylformylglycinamidine cyclo-ligase PurM","Rv1030","kdpB","potassium-transporting ATPase subunit B","Rv0904c","accD3","acetyl-CoAcarboxylase carboxyl transferase subunit beta"
"13","Rv1933c","fadE18","acyl-CoA dehydrogenase FadE18","Rv1908c","katG","catalase-peroxidase","Rv0392c","ndhA","NADH dehydrogenase NdhA","Rv1264",NA,"adenylyl cyclase",NA,NA,NA,"Rv2691","ceoB","TRK system potassium uptake protein CeoB","Rv1736c","narX","nitrate reductase-like protein NarX","Rv1030","kdpB","potassium-transporting ATPase subunit B","Rv1155",NA,"pyridoxine/pyridoxamine 5'-phosphate oxidase","Rv0824c","desA1","acyl-ACP desaturase DesA","Rv1143","mcr","alpha-methylacyl-CoA racemase","Rv1030","kdpB","potassium-transporting ATPase subunit B"
"14","Rv2194","qcrC","ubiquinol-cytochrome C reductase cytochrome subunit C","Rv2351c","plcA","membrane-associated phospholipase A","Rv0423c","thiC","phosphomethylpyrimidine synthase","Rv1328","glgP","glycogen phosphorylase",NA,NA,NA,"Rv2831","echA16","enoyl-CoA hydratase EchA16","Rv1826","gcvH","glycine cleavage system protein H","Rv1127c","ppdK","pyruvate, phosphate dikinase PpdK","Rv1248c",NA,"multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase","Rv0859",NA,"acyltransferase","Rv1185c","fadD21","fatty-acid--CoA ligase FadD21","Rv1155",NA,"pyridoxine/pyridoxamine 5'-phosphate oxidase"
"15","Rv2222c","glnA2","glutamine synthetase","Rv3314c","deoA","thymidine phosphorylase","Rv0456c","echA2","enoyl-CoA hydratase EchA2","Rv1383","carA","carbamoyl-phosphate synthase small subunit",NA,NA,NA,"Rv2947c","pks15","polyketide synthase","Rv1934c","fadE17","acyl-CoA dehydrogenase FadE17","Rv1131","prpC","methylcitrate synthase PrpC","Rv1296","thrB","homoserine kinase","Rv0911",NA,"hypothetical protein","Rv1328","glgP","glycogen phosphorylase","Rv1248c",NA,"multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase"
"16","Rv2471","aglA","alpha-glucosidase AglA","Rv3498c","mce4B","Mce family protein Mce4B","Rv0512","hemB","delta-aminolevulinic acid dehydratase","Rv1451",NA,"protoheme IX farnesyltransferase",NA,NA,NA,"Rv3465","rmlC","dTDP-4-dehydrorhamnose 3,5-epimerase","Rv2187","fadD15","long-chain-fatty-acid--CoA ligase FadD15","Rv1188",NA,"proline dehydrogenase","Rv1348","irtA","iron ABC transporter ATP-binding protein/permease IrtA","Rv0932c","pstS2","phosphate ABC transporter substrate-binding lipoprotein PstS","Rv1425",NA,"diacyglycerol O-acyltransferase","Rv1327c","glgE","alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase"
"17","Rv2747","argA","L-glutamate alpha-N-acetyltranferase","Rv3516","echA19","enoyl-CoA hydratase EchA19","Rv0642c","mmaA4","hydroxymycolate synthase MmaA4","Rv1604","impA","inositol-monophosphatase ImpA",NA,NA,NA,"Rv3487c","lipF","carboxylesterase LipF","Rv2267c",NA,"hypothetical protein","Rv1240","mdh","malate dehydrogenase","Rv1409","ribG","bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase","Rv0971c","echA7","enoyl-CoA hydratase EchA7","Rv1447c","zwf2","glucose-6-phosphate 1-dehydrogenase","Rv1451",NA,"protoheme IX farnesyltransferase"
"18","Rv2833c","ugpB","sn-glycerol-3-phosphate ABC transporter substrate-binding lipoprotein UgpB","Rv3561","fadD3","fatty-acid--CoA ligase FadD3","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA","Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF",NA,NA,NA,"Rv3782","glfT1","galactofuranosyl transferase GlfT","Rv2378c","mbtG","L-lysine N6-monooxygenase","Rv1307","atpH","ATP synthase subunit b/delta","Rv1449c","tkt","transketolase","Rv1127c","ppdK","pyruvate, phosphate dikinase PpdK","Rv1511","gmdA","GDP-D-mannose dehydratase GmdA","Rv1484","inhA","NADH-dependent enoyl-[ACP] reductase"
"19","Rv3314c","deoA","thymidine phosphorylase","Rv3740c",NA,"diacyglycerol O-acyltransferase","Rv0772","purD","phosphoribosylamine--glycine ligase","Rv1617","pykA","pyruvate kinase",NA,NA,NA,"Rv3800c","pks13","polyketide synthase","Rv2483c","plsC","bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate acyltransferase","Rv1309","atpG","ATP synthase subunit gamma","Rv1451",NA,"protoheme IX farnesyltransferase","Rv1185c","fadD21","fatty-acid--CoA ligase FadD21","Rv1704c","cycA","D-serine/alanine/glycine transporter protein CycA","Rv1550","fadD11","fatty-acid--CoA ligase FadD11"
"20","Rv3382c",NA,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase","Rv3772","hisC2","histidinol-phosphate aminotransferase","Rv0975c","fadE13","acyl-CoA dehydrogenase FadE13","Rv1662","pks8","polyketide synthase",NA,NA,NA,NA,NA,NA,"Rv2947c","pks15","polyketide synthase","Rv1320c",NA,"adenylate cyclase","Rv1484","inhA","NADH-dependent enoyl-[ACP] reductase","Rv1283c","oppB","oligopeptide ABC transporter permease OppB","Rv1714",NA,"oxidoreductase","Rv1562c","treZ","malto-oligosyltrehalose trehalohydrolase"
"21","Rv3758c","proV","glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV","Rv3913","trxB2","thioredoxin reductase","Rv1086",NA,"(2Z,6E)-farnesyl diphosphate synthase","Rv1736c","narX","nitrate reductase-like protein NarX",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1427c","fadD12","acyl-CoA synthetase","Rv1500",NA,"glycosyltransferase","Rv1288",NA,"hypothetical protein","Rv1731","gabD2","succinate-semialdehyde dehydrogenase","Rv1595","nadB","L-aspartate oxidase"
"22","Rv3801c","fadD32","long-chain-fatty-acid--AMP ligase FadD32",NA,NA,NA,"Rv1143","mcr","alpha-methylacyl-CoA racemase","Rv2043c","pncA","pyrazinamidase/nicotinamidase PncA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1451",NA,"protoheme IX farnesyltransferase","Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF","Rv1307","atpH","ATP synthase subunit b/delta","Rv1739c",NA,"sulfate ABC transporter permease","Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF"
"23","Rv3913","trxB2","thioredoxin reductase",NA,NA,NA,"Rv1159","pimE","polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase","Rv2062c","cobN","cobalamin biosynthesis protein CobN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1552","frdA","fumarate reductase flavoprotein subunit","Rv1617","pykA","pyruvate kinase","Rv1311","atpC","ATP synthase subunit epsilon","Rv1750c","fadD1","fatty-acid--CoA ligase FadD1","Rv1672c",NA,"integral membrane transport protein"
"24",NA,NA,NA,NA,NA,NA,"Rv1302","rfe","decaprenyl-phosphate N-acetylglucosaminephosphotransferase","Rv2127","ansP1","L-asparagine permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF","Rv2127","ansP1","L-asparagine permease","Rv1348","irtA","iron ABC transporter ATP-binding protein/permease IrtA","Rv1885c","*MtCM","chorismate mutase","Rv1819c","bacA","vitamin B12 transport ATP-binding protein BacA"
"25",NA,NA,NA,NA,NA,NA,"Rv1306","atpF","ATP synthase subunit B","Rv2421c","nadD","nicotinate-nucleotide adenylyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1617","pykA","pyruvate kinase","Rv2194","qcrC","ubiquinol-cytochrome C reductase cytochrome subunit C","Rv1412","ribC","riboflavin synthase","Rv1886c","fbpB","diacylglycerol acyltransferase/mycolyltransferase Ag85B","Rv2124c","metH","methionine synthase"
"26",NA,NA,NA,NA,NA,NA,"Rv1309","atpG","ATP synthase subunit gamma","Rv2436","rbsK","ribokinase RbsK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1656","argF","ornithine carbamoyltransferase","Rv2400c","subI","sulfate ABC transporter substrate-binding lipoprotein SubI","Rv1607","chaA","ionic transporter integral membrane protein ChaA","Rv1912c","fadB5","oxidoreductase FadB","Rv2194","qcrC","ubiquinol-cytochrome C reductase cytochrome subunit C"
"27",NA,NA,NA,NA,NA,NA,"Rv1349","irtB","iron ABC transporter ATP-binding protein/permease IrtB","Rv2471","aglA","alpha-glucosidase AglA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1850","ureC","urease subunit alpha","Rv2504c","scoA","succinyl-CoA:3-ketoacid-CoA transferase subunit A","Rv1662","pks8","polyketide synthase","Rv1940","ribA1","riboflavin biosynthesis protein RibA","Rv2400c","subI","sulfate ABC transporter substrate-binding lipoprotein SubI"
"28",NA,NA,NA,NA,NA,NA,"Rv1373",NA,"glycolipid sulfotransferase","Rv2495c","bkdC","branched-chain keto acid dehydrogenase E2 component",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv1912c","fadB5","oxidoreductase FadB","Rv2524c","fas","fatty acid synthase","Rv1663","pks17","polyketide synthase","Rv2048c","pks12","polyketide synthase","Rv2438c","nadE","glutamine-dependent NAD(+) synthetase"
"29",NA,NA,NA,NA,NA,NA,"Rv1389","gmk","guanylate kinase","Rv2605c","tesB2","acyl-CoA thioesterase II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2071c","cobM","precorrin-4 C(11)-methyltransferase","Rv2724c","fadE20","acyl-CoA dehydrogenase FadE20","Rv1872c","lldD2","L-lactate dehydrogenase","Rv2066","cobIJ","bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase","Rv2524c","fas","fatty acid synthase"
"30",NA,NA,NA,NA,NA,NA,"Rv1391","dfp","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase","Rv2773c","dapB","4-hydroxy-tetrahydrodipicolinate reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2124c","metH","methionine synthase","Rv2860c","glnA4","glutamine synthetase","Rv1885c","*MtCM","chorismate mutase","Rv2187","fadD15","long-chain-fatty-acid--CoA ligase FadD15","Rv2537c","aroD","3-dehydroquinate dehydratase"
"31",NA,NA,NA,NA,NA,NA,"Rv1451",NA,"protoheme IX farnesyltransferase","Rv2833c","ugpB","sn-glycerol-3-phosphate ABC transporter substrate-binding lipoprotein UgpB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2155c","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","Rv2940c","mas","multifunctional mycocerosic acid synthase","Rv2062c","cobN","cobalamin biosynthesis protein CobN","Rv2201","asnB","asparagine synthetase","Rv2724c","fadE20","acyl-CoA dehydrogenase FadE20"
"32",NA,NA,NA,NA,NA,NA,"Rv1467c","fadE15","acyl-CoA dehydrogenase","Rv2850c",NA,"magnesium chelatase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2222c","glnA2","glutamine synthetase","Rv3199c","nudC","NADH pyrophosphatase","Rv2174","mptA","alpha(1->6)-mannopyranosyltransferase A","Rv2291","sseB","thiosulfate sulfurtransferase SseB","Rv2860c","glnA4","glutamine synthetase"
"33",NA,NA,NA,NA,NA,NA,"Rv1475c","acn","iron-regulated aconitate hydratase","Rv2931","ppsA","phthiocerol synthesis polyketide synthase type I PpsA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2225","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","Rv3255c","manA","mannose-6-phosphate isomerase","Rv2188c","pimB","alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase","Rv2294",NA,"cystathionine beta-lyase","Rv2933","ppsC","phthiocerol synthesis polyketide synthase type I PpsC"
"34",NA,NA,NA,NA,NA,NA,"Rv1483","fabG1","3-oxoacyl-ACP reductase FabG","Rv3113",NA,"phosphatase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2287","yjcE","Na(+)/H(+) transporter","Rv3314c","deoA","thymidine phosphorylase","Rv2267c",NA,"hypothetical protein","Rv2484c",NA,"diacyglycerol O-acyltransferase","Rv2942","mmpL7","transmembrane transport protein MmpL7"
"35",NA,NA,NA,NA,NA,NA,"Rv1533",NA,"monooxygenase","Rv3280","accD5","propionyl-CoA carboxylase subunit beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2380c","mbtE","peptide synthetase","Rv3375","amiD","amidase","Rv2277c",NA,"glycerolphosphodiesterase","Rv2504c","scoA","succinyl-CoA:3-ketoacid-CoA transferase subunit A","Rv3031",NA,"1,4-alpha-glucan-branching protein"
"36",NA,NA,NA,NA,NA,NA,"Rv1552","frdA","fumarate reductase flavoprotein subunit","Rv3314c","deoA","thymidine phosphorylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2435c",NA,"cyclase","Rv3410c","guaB3","oxidoreductase","Rv2329c","narK1","nitrate/nitrite transporter","Rv2531c","adi","amino acid decarboxylase","Rv3111","moaC1","cyclic pyranopterin monophosphate synthase accessory protein"
"37",NA,NA,NA,NA,NA,NA,"Rv1589","bioB","biotin synthetase","Rv3913","trxB2","thioredoxin reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2503c","scoB","succinyl-CoA:3-ketoacid-CoA transferase subunit B","Rv3808c","glfT2","galactofuranosyl transferase GlfT","Rv2435c",NA,"cyclase","Rv2605c","tesB2","acyl-CoA thioesterase II","Rv3148","nuoD","NADH-quinone oxidoreductase subunit D"
"38",NA,NA,NA,NA,NA,NA,"Rv1605","hisF","imidazole glycerol phosphate synthase subunit HisF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2505c","fadD35","fatty-acid--CoA ligase FadD35","Rv3913","trxB2","thioredoxin reductase","Rv2601","speE","spermidine synthase","Rv2931","ppsA","phthiocerol synthesis polyketide synthase type I PpsA","Rv3199c","nudC","NADH pyrophosphatase"
"39",NA,NA,NA,NA,NA,NA,"Rv1617","pykA","pyruvate kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2531c","adi","amino acid decarboxylase",NA,NA,NA,"Rv2605c","tesB2","acyl-CoA thioesterase II","Rv2934","ppsD","phthiocerol synthesis polyketide synthase type I PpsD","Rv3314c","deoA","thymidine phosphorylase"
"40",NA,NA,NA,NA,NA,NA,"Rv1652","argC","N-acetyl-gamma-glutamyl-phoshate reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2590","fadD9","fatty-acid--CoA ligase FadD9",NA,NA,NA,"Rv2781c",NA,"oxidoreductase","Rv2949c",NA,"chorismate pyruvate-lyase","Rv3410c","guaB3","oxidoreductase"
"41",NA,NA,NA,NA,NA,NA,"Rv1731","gabD2","succinate-semialdehyde dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2682c","dxs1","1-deoxy-D-xylulose 5-phosphate synthase",NA,NA,NA,"Rv2847c","cysG","multifunctional uroporphyrin-III C-methyltransferase/precorrin-2 oxidase/ferrochelatase","Rv2950c","fadD29","long-chain-fatty-acid--AMP ligase FadD29","Rv3518c","cyp142","cytochrome P450 monooxygenase Cyp142"
"42",NA,NA,NA,NA,NA,NA,"Rv1737c","narK2","nitrate/nitrite transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2691","ceoB","TRK system potassium uptake protein CeoB",NA,NA,NA,"Rv2920c","amt","ammonium transporter integral membrane protein","Rv2964","purU","formyltetrahydrofolate deformylase","Rv3807c",NA,"decaprenylphosphoryl-5-phosphoribose phosphatase"
"43",NA,NA,NA,NA,NA,NA,"Rv1739c",NA,"sulfate ABC transporter permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2724c","fadE20","acyl-CoA dehydrogenase FadE20",NA,NA,NA,"Rv2931","ppsA","phthiocerol synthesis polyketide synthase type I PpsA","Rv3075c",NA,"hypothetical protein","Rv3913","trxB2","thioredoxin reductase"
"44",NA,NA,NA,NA,NA,NA,"Rv1745c","idi","isopentenyl-diphosphate delta-isomerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2849c","cobO","cob(I)alamin adenosyltransferase",NA,NA,NA,"Rv2940c","mas","multifunctional mycocerosic acid synthase","Rv3088","tgs4","diacyglycerol O-acyltransferase",NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,"Rv1843c","guaB1","inosine-5'-monophosphate dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2949c",NA,"chorismate pyruvate-lyase",NA,NA,NA,"Rv2952",NA,"phthiotriol/phenolphthiotriol dimycocerosates methyltransferase","Rv3147","nuoC","NADH-quinone oxidoreductase subunit C",NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,"Rv1850","ureC","urease subunit alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv2967c","pca","pyruvate carboxylase",NA,NA,NA,"Rv3042c","serB2","phosphoserine phosphatase SerB","Rv3339c","icd1","isocitrate dehydrogenase",NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,"Rv1859","modC","molybdenum ABC transporter ATP-binding protein ModC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3130c","tgs1","diacyglycerol O-acyltransferase",NA,NA,NA,"Rv3089","fadD13","long chain-fatty-acid--CoA ligase FadD13","Rv3490","otsA","trehalose-phosphate synthase",NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,"Rv1885c","*MtCM","chorismate mutase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3139","fadE24","acyl-CoA dehydrogenase",NA,NA,NA,"Rv3157","nuoM","NADH-quinone oxidoreductase subunit M",NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,"Rv1938","ephB","epoxide hydrolase EphB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3214","gpm2","phosphoglycerate mutase",NA,NA,NA,"Rv3199c","nudC","NADH pyrophosphatase",NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,"Rv2029c","pfkB","6-phosphofructokinase PfkB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3500c","yrbE4B","integral membrane protein",NA,NA,NA,"Rv3203","lipV","lipase LipV",NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,"Rv2048c","pks12","polyketide synthase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3759c","proX","glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX",NA,NA,NA,"Rv3275c","purE","5-(carboxyamino)imidazole ribonucleotide mutase",NA,NA,NA,NA,NA,NA
